"key","da","en"
"^rn-wappsto-networks^translation:onboarding.progress.connect",,"connecting to the IoT device"
"^rn-wappsto-networks^translation:onboarding.progress.initNotification",,"initializing notification listener"
"^rn-wappsto-networks^translation:onboarding.progress.negotiateSecurity",,"negotiating security with the IoT device"
"^rn-wappsto-networks^translation:onboarding.progress.getDeviceWifiList",,"getting Wi-Fi list from the device"
"^rn-wappsto-networks^translation:onboarding.progress.retrieve",,"retrieving device information"
"^rn-wappsto-networks^translation:onboarding.progress.sendWifiData",,"sending Wi-Fi data"
"^rn-wappsto-networks^translation:onboarding.progress.waitDeviceConnect",,"waiting for the IoT device to connect"
"^rn-wappsto-networks^translation:onboarding.progress.addNetwork",,"registering the IoT device in the cloud"
"^rn-wappsto-networks^translation:onboarding.error.failedConnect",,"failed to connect to the device."
"^rn-wappsto-networks^translation:onboarding.error.failedInitNotification",,"failed to initialize notification listener."
"^rn-wappsto-networks^translation:onboarding.error.failedNegotiateSecurity",,"failed to negotiate security with the device."
"^rn-wappsto-networks^translation:onboarding.error.failedNegotiateSecurityTimeout",,"the device did not send back the security key."
"^rn-wappsto-networks^translation:onboarding.error.failedGetDeviceWifiList",,"failed to get Wi-Fi list from the device"
"^rn-wappsto-networks^translation:onboarding.error.failedGetDeviceWifiListTimeout",,"failed to get Wi-Fi list from the device(device did not answer)"
"^rn-wappsto-networks^translation:onboarding.error.failedWaitDeviceConnect",,"didn't receive device connection confirmation (timeout)"
"^rn-wappsto-networks^translation:onboarding.error.failedRetrieve",,"failed to retrieve device information."
"^rn-wappsto-networks^translation:onboarding.error.failedRetrieveTimeout",,"failed to comunicate with the device."
"^rn-wappsto-networks^translation:onboarding.error.failedNotUuid",,"wrong UUID was received from the device."
"^rn-wappsto-networks^translation:onboarding.error.failedSendWifiData",,"failed to send Wi-Fi data."
"^rn-wappsto-networks^translation:onboarding.error.rejectedManufacturerAsOwner",,"Device was not registered to your account since you have rejected device data sharing with the manufacturer of the device."
"^rn-wappsto-networks^translation:onboarding.error.rserror",,""
"^rn-wappsto-networks^translation:onboarding.error.generic",,"something went wrong."
"^rn-wappsto-networks^translation:onboarding.wifiScan.scanInProgress",,"retrieving Wi-Fi network list"
"^rn-wappsto-networks^translation:onboarding.wifiScan.noWifiFound",,"no Wi-Fi networks were found. If your Wi-Fi access point is hidden, try manual setup"
"^rn-wappsto-networks^translation:onboarding.wifiScan.foundWifi",,"Wi-Fi networks discovered by your device"
"^rn-wappsto-networks^translation:onboarding.wifiScan.selectWifi",,"select an access points you want your IoT device to connect to"
"^rn-wappsto-networks^translation:onboarding.wifiScan.scanAgain",,"scan again"
"^rn-wappsto-networks^translation:onboarding.wifiScan.scanningInProgressInfo",,"your IoT device is scanning for nearby Wi-Fi networks. Please wait..."
"^rn-wappsto-networks^translation:onboarding.wifiScan.hiddenNetworkInfo",,"your Wi-Fi network is 'hidden'?"
"^rn-wappsto-networks^translation:onboarding.wifiScan.manualSetup",,"go to manual setup"
"^rn-wappsto-networks^translation:onboarding.wifiScan.error.title",,"Wi-Fi scan failed"
"^rn-wappsto-networks^translation:onboarding.wifiScan.error.description",,"you can close the setup flow and try again."
"^rn-wappsto-networks^translation:onboarding.wifiConfig.title",,"configure Wi-Fi"
"^rn-wappsto-networks^translation:onboarding.wifiConfig.intro",,"to setup Wi-Fi on your IoT device, please, enter required details below."
"^rn-wappsto-networks^translation:onboarding.wifiConfig.warning5Ghz",,"Please, keep in mind that Wi-Fi setup may not be supported on 5GHz networks."
"^rn-wappsto-networks^translation:onboarding.wifiConfig.settingUp",,"setting up"
"^rn-wappsto-networks^translation:onboarding.wifiConfig.ssidLabel",,"Wi-Fi network"
"^rn-wappsto-networks^translation:onboarding.wifiConfig.passwordLabel",,"Wi-Fi password"
"^rn-wappsto-networks^translation:onboarding.wifiConfig.sendButton",,"configure"
"^rn-wappsto-networks^translation:onboarding.wifiSetup.setupInProgress",,"setting up"
"^rn-wappsto-networks^translation:onboarding.wifiSetup.success.title",,"your device is set up and added to your list."
"^rn-wappsto-networks^translation:onboarding.wifiSetup.success.description",,"you can now finish the setup and go to device list view."
"^rn-wappsto-networks^translation:onboarding.wifiSetup.success.flowButton",,"finish"
"^rn-wappsto-networks^translation:onboarding.wifiSetup.error.title",,"Wi-Fi setup failed"
"^rn-wappsto-networks^translation:onboarding.wifiSetup.error.description",,"you can close the setup flow and try again."
"^rn-wappsto-networks^translation:onboarding.wifiSetup.error.flowButton",,"close"
"^aduro-native^translation:appTitle",,""
"^aduro-native^translation:pageTitle.account",,"account"
"^aduro-native^translation:pageTitle.main",,"home"
"^aduro-native^translation:pageTitle.deviceScreen",,"stove settings"
"^aduro-native^translation:pageTitle.settings",,"settings"
"^aduro-native^translation:pageTitle.serviceMenu",,"service menu"
"^aduro-native^translation:pageTitle.terms",,"terms and conditions"
"^aduro-native^translation:pageTitle.language",,"language"
"^aduro-native^translation:genericButton.back",,"back"
"^aduro-native^translation:genericButton.cancel",,"cancel"
"^aduro-native^translation:genericButton.create",,"create"
"^aduro-native^translation:genericButton.delete",,"delete"
"^aduro-native^translation:genericButton.done",,"done"
"^aduro-native^translation:genericButton.edit",,"edit"
"^aduro-native^translation:genericButton.next",,"next"
"^aduro-native^translation:genericButton.no",,"no"
"^aduro-native^translation:genericButton.ok",,"ok"
"^aduro-native^translation:genericButton.yes",,"yes"
"^aduro-native^translation:genericButton.refresh",,"refresh"
"^aduro-native^translation:genericButton.reload",,"reload"
"^aduro-native^translation:genericButton.save",,"save"
"^aduro-native^translation:genericButton.send",,"send"
"^aduro-native^translation:pelletStove.names.Stove",,"pellet stove"
"^aduro-native^translation:pelletStove.names.Off",,"OFF"
"^aduro-native^translation:pelletStove.names.on",,"ON"
"^aduro-native^translation:pelletStove.names.On/Off",,"on/Off"
"^aduro-native^translation:pelletStove.names.Status",,"status"
"^aduro-native^translation:pelletStove.names.temperature",,"room temperature"
"^aduro-native^translation:pelletStove.names.desiredtemperature",,"desired room temperature"
"^aduro-native^translation:pelletStove.names.heat level",,"heat level"
"^aduro-native^translation:pelletStove.names.smoke temperature",,"smoke temperature"
"^aduro-native^translation:pelletStove.names.calendar general",,"calendar"
"^aduro-native^translation:pelletStove.names.calendar week",,"calendar (weekly)"
"^aduro-native^translation:pelletStove.names.week",,"week"
"^aduro-native^translation:pelletStove.names.date",,"date"
"^aduro-native^translation:pelletStove.names.program 1",,"Program 1"
"^aduro-native^translation:pelletStove.names.program 2",,"Program 2"
"^aduro-native^translation:pelletStove.names.program 3",,"Program 3"
"^aduro-native^translation:pelletStove.names.program 4",,"Program 4"
"^aduro-native^translation:pelletStove.names.auger power 1",,"auger power 1"
"^aduro-native^translation:pelletStove.names.auger power 2",,"auger power 2"
"^aduro-native^translation:pelletStove.names.auger power 3",,"auger power 3"
"^aduro-native^translation:pelletStove.names.auger power 4",,"auger power 4"
"^aduro-native^translation:pelletStove.names.auger power 5",,"auger power 5"
"^aduro-native^translation:pelletStove.names.fume speed 1",,"fume speed 1"
"^aduro-native^translation:pelletStove.names.fume speed 2",,"fume speed 2"
"^aduro-native^translation:pelletStove.names.fume speed 3",,"fume speed 3"
"^aduro-native^translation:pelletStove.names.fume speed 4",,"fume speed 4"
"^aduro-native^translation:pelletStove.names.fume speed 5",,"fume speed 5"
"^aduro-native^translation:pelletStove.names.load pellet",,"load pellet"
"^aduro-native^translation:pelletStove.names.exhaust chimney",,"exhaust chimney"
"^aduro-native^translation:pelletStove.names.burn pot cleaning",,"burn pot cleaning"
"^aduro-native^translation:pelletStove.names.fire pot cleaning",,"fire pot cleaning"
"^aduro-native^translation:pelletStove.names.total hours",,"total hours"
"^aduro-native^translation:pelletStove.names.partial hours",,"partial hours"
"^aduro-native^translation:pelletStove.names.start number",,"start number"
"^aduro-native^translation:pelletStove.names.aduro pellet consumption",,"pellet consumption"
"^aduro-native^translation:pelletStove.statusMessage.off",,"OFF"
"^aduro-native^translation:pelletStove.statusMessage.ignition",,"ignition"
"^aduro-native^translation:pelletStove.statusMessage.load wood",,"load pellets"
"^aduro-native^translation:pelletStove.statusMessage.fire on",,"fire on"
"^aduro-native^translation:pelletStove.statusMessage.work phase",,"work phase"
"^aduro-native^translation:pelletStove.statusMessage.cleaning phase",,"cleaning phase"
"^aduro-native^translation:pelletStove.statusMessage.final cleaning",,"final cleaning"
"^aduro-native^translation:pelletStove.statusMessage.final cleaning alarm",,"final cleaning alarm"
"^aduro-native^translation:pelletStove.statusMessage.stand by",,"stand by"
"^aduro-native^translation:pelletStove.statusMessage.off state alarm",,"off state alarm"
"^aduro-native^translation:pelletStove.statusMessage.unhandled",,"unhandled"
"^aduro-native^translation:pelletStove.statusMessage.not_available",,"not_available"
"^aduro-native^translation:pelletStove.alarms.Smoke Probe Alarm",,"Smoke probe"
"^aduro-native^translation:pelletStove.alarms.Smoke Hot Alarm",,"Smoke hot"
"^aduro-native^translation:pelletStove.alarms.Fan Failure Alarm",,"Fan failure"
"^aduro-native^translation:pelletStove.alarms.Failed Ignition Alarm",,"Failed ignition"
"^aduro-native^translation:pelletStove.alarms.Not Pellet Alarm",,"No pellet (should be removed)"
"^aduro-native^translation:pelletStove.alarms.No Pellet Alarm",,"No pellet"
"^aduro-native^translation:pelletStove.alarms.Failure Depression Alarm",,"Failure Depression"
"^aduro-native^translation:pelletStove.alarms.Thermal Safety Alarm",,"Thermal Safety"
"^aduro-native^translation:pelletStove.alarms.Black Out Alarm",,"Black Out"
"^aduro-native^translation:pelletStove.calendar.0",,"disabled"
"^aduro-native^translation:pelletStove.calendar.1",,"enabled"
"^aduro-native^translation:pelletStove.onOffButton.start",,"start"
"^aduro-native^translation:pelletStove.onOffButton.stop",,"stop"
"^aduro-native^translation:pelletStove.offline",,"Not connected (offline)"
"^aduro-native^translation:settingsScreenInfo",,"here you can select between stove 3 settings and turn the stove on."
"^aduro-native^translation:deleteConfirmationQuestion",,"Are you sure you want to delete?"
"^aduro-native^translation:deleteConfirmationDescription",,"this action cannot be undone."
"^aduro-native^translation:noData",,"no data"
"^aduro-native^translation:lastUpdated",,"last updated"
"^aduro-native^translation:loading",,"loading"
"^aduro-native^translation:logout",,"logout"
"^aduro-native^translation:statusMessage.connecting",,"connecting..."
"^aduro-native^translation:statusMessage.creatingStream",,"creating stream..."
"^aduro-native^translation:statusMessage.gettingStream",,"getting stream..."
"^aduro-native^translation:statusMessage.loading",,"loading..."
"^aduro-native^translation:statusMessage.openingConnection",,"opening connection"
"^aduro-native^translation:statusMessage.reconnecting",,"reconnecting..."
"^aduro-native^translation:statusMessage.streamClosed",,"stream connection closed"
"^aduro-native^translation:statusMessage.streamOpen",,"stream connection open"
"^aduro-native^translation:statusMessage.updatingStream",,"updating stream..."
"^aduro-native^translation:tryAgain",,"try again"
"^aduro-native^translation:waitingForNetwork",,"waiting for the stove to connect"
"^aduro-native^translation:onboarding.claimNetwork.claimNetworkTitle",,"register stove in the cloud"
"^aduro-native^translation:onboarding.claimNetwork.claimNetworkInfo",,"find the the QR code printed on the stove."
"^aduro-native^translation:onboarding.claimNetwork.enterUUID",,"if scanning of QR code doesn't work for you, enter the stove ID (UUID, 36-characters) that is printed on the label."
"^aduro-native^translation:onboarding.claimNetwork.cameraPermission.denied",,"camera not authorized"
"^aduro-native^translation:onboarding.claimNetwork.cameraPermission.pending",,"waiting for camera"
"^aduro-native^translation:onboarding.claimNetwork.cameraPermission.title",,"camera permission is required"
"^aduro-native^translation:onboarding.claimNetwork.cameraPermission.message",,"the app needs access to phone camera to scan the QR code"
"^aduro-native^translation:onboarding.claimNetwork.scanQRCode",,"tap here to scan QR code"
"^aduro-native^translation:onboarding.claimNetwork.scanSuccessMessage",,"QR code scanned"
"^aduro-native^translation:onboarding.claimNetwork.rescanQRCode",,"tap here to scan again"
"^aduro-native^translation:onboarding.claimNetwork.uuidLabel",,"stove ID (UUID)"
"^aduro-native^translation:onboarding.claimNetwork.claimNetworkBtn",,"register"
"^aduro-native^translation:onboarding.EthernetVsWifi.title",,"How do you prefer your stove to be connected?"
"^aduro-native^translation:onboarding.EthernetVsWifi.selectOption",,"select one of the options that fits your setup"
"^aduro-native^translation:onboarding.EthernetVsWifi.or",,"or"
"^aduro-native^translation:onboarding.EthernetVsWifi.button.useEthernet",,"use ethernet cable"
"^aduro-native^translation:onboarding.EthernetVsWifi.button.useWifi",,"connect stove to Wi-Fi"
"^aduro-native^translation:onboarding.deviceDiscovery.scanAgain",,"search again"
"^aduro-native^translation:onboarding.deviceDiscovery.scanError",,"failed to find stoves"
"^aduro-native^translation:onboarding.deviceDiscovery.foundDevices",,"select stove"
"^aduro-native^translation:onboarding.deviceDiscovery.lookingForDevices",,"discovery in progress..."
"^aduro-native^translation:onboarding.deviceDiscovery.selectDevice",,"select the stove you want to connect to Wi-Fi"
"^aduro-native^translation:onboarding.deviceDiscovery.noDevicesFound",,"no stoves were found"
"^aduro-native^translation:onboarding.deviceDiscovery.unknownName",,"unknown"
"^aduro-native^translation:onboarding.deviceDiscovery.goToSettings",,"go to settings"
"^aduro-native^translation:onboarding.deviceDiscovery.permissionError.bluetoothGeneric",,"Enable Bluetooth to continue. Bluetooth is required to find nearby devices."
"^aduro-native^translation:onboarding.deviceDiscovery.permissionError.bluetoothUnauthorized",,"$t(onboarding.deviceDiscovery.permissionError.bluetoothGeneric)"
"^aduro-native^translation:onboarding.deviceDiscovery.permissionError.bluetoothNotSupported",,"This feature requires Bluetooth yet your phone does not support it."
"^aduro-native^translation:onboarding.deviceDiscovery.permissionError.bluetoothOff",,"$t(onboarding.deviceDiscovery.permissionError.bluetoothGeneric)"
"^aduro-native^translation:onboarding.deviceDiscovery.permissionError.location",,"Enable location to continue. Location is required to find nearby devices."
"^aduro-native^translation:onboarding.progress.connect",,"connecting to the stove"
"^aduro-native^translation:onboarding.progress.initNotification",,"initializing notification listener"
"^aduro-native^translation:onboarding.progress.negotiateSecurity",,"negotiating security with the stove"
"^aduro-native^translation:onboarding.progress.getDeviceWifiList",,"getting Wi-Fi list from the stove"
"^aduro-native^translation:onboarding.progress.retrieve",,"retrieving stove information"
"^aduro-native^translation:onboarding.progress.sendWifiData",,"sending Wi-Fi data"
